mean_validation_error,mean_training_error,mean_validation_error_reg,mean_training_error_reg,seme,Numero di neuroni N,rho,sigma
0.01916642789459239,0.011227333326992172,0.0584465428676044,0.05050744830000418,2532,50,0.001,0.88
0.01057592159549298,0.005799979884223307,0.037515721869228,0.03273978015795832,2532,50,0.0005623413251903491,0.88
0.006086016426224159,0.0028910260572334663,0.023697510792419052,0.02050252042342836,2532,50,0.00031622776601683794,0.88
0.003719703569284654,0.001702292623351116,0.014796621396332352,0.012779210450398815,2532,50,0.00017782794100389227,0.88
0.002307195613203223,0.0009759893266344186,0.009237046158640436,0.007905839872071631,2532,50,0.0001,0.88
0.0017685893238311285,0.0006775128305561947,0.005889508439578558,0.0047984319463036254,2532,50,5.623413251903491e-05,0.88
0.0014409246452191573,0.00037951397960686985,0.004064977392609517,0.00300356672699723,2532,50,3.1622776601683795e-05,0.88
0.0005944372849891331,0.0001389534033065746,0.002293643846797187,0.0018381599651146289,2532,50,1.778279410038923e-05,0.88
0.00045040319693986485,9.479603484668458e-05,0.0014509563689829679,0.0010953492068897874,2532,50,1e-05,0.88
